Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-14216-80-6,172.16.0.1,14216,192.168.10.50,80,6,7/7/2017 3:56,913357,3,5,26,11607,20,0,8.666666667,10.26320288,8760,0,2321.4,3802.315321,12736.53128,8.758897123,130479.5714,344873.0512,912578,2,592,296.0,412.9503602,588,4,913341,228335.25,456161.9051,912578,2,0,0,0,0,72,112,3.284586421,5.474310702,0,8760,1292.555556,2952.520834,8717379.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-50076-80-6,172.16.0.1,50076,192.168.10.50,80,6,7/7/2017 3:56,891318,3,4,26,11601,20,0,8.666666667,10.26320288,5840,0,2900.25,3345.636997,13044.72702,7.853538243,148553.0,359063.6826,881451,82,9593,4796.5,6514.574775,9403,190,891169,297056.3333,506122.1451,881451,192,0,0,0,0,72,92,3.365802104,4.487736139,0,5840,1453.375,2681.356423,7189672.268,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-50117-80-6,172.16.0.1,50117,192.168.10.50,80,6,7/7/2017 3:56,8793774,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.411504549,0.568584091,2198443.5,4396213.692,8792764,1,8793774,2198443.5,4396213.692,8792764,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.568584091,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1010.0,0.0,1010,1010,8792764.0,0.0,8792764,8792764,DDoS
192.168.10.3-192.168.10.5-53-57325-17,192.168.10.5,57325,192.168.10.3,53,17,7/7/2017 3:30,61912,4,2,152,172,38,38,38.0,0.0,86,86,86.0,0.0,5233.234268,96.9117457,12382.4,17451.38798,36915,3,24949,8316.333333,14398.2497,24942,3,48,48.0,0.0,48,48,0,0,0,0,128,64,64.60783047,32.30391523,38,86,51.71428571,23.42160175,548.5714286,0,0,0,0,0,0,0,0,0,60.33333333,38.0,86.0,128,0,0,0,0,0,0,4,152,2,172,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-61665-17,192.168.10.3,61665,192.168.10.1,53,17,7/7/2017 3:30,100601,1,1,48,100,48,48,48.0,0.0,100,100,100.0,0.0,1471.158338,19.88051809,100601.0,0.0,100601,100601,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,9.940259043,9.940259043,48,100,65.33333333,30.022214,901.3333333,0,0,0,0,0,0,0,0,1,98.0,48.0,100.0,32,0,0,0,0,0,0,1,48,1,100,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.16-53-37335-17,192.168.10.16,37335,192.168.10.3,53,17,7/7/2017 3:30,1140,2,2,72,246,36,36,36.0,0.0,123,123,123.0,0.0,278947.3684,3508.77193,380.0,644.3353164,1124,4,12,12.0,0.0,12,12,4,4.0,0.0,4,4,0,0,0,0,64,64,1754.385965,1754.385965,36,123,70.8,47.6518625,2270.7,0,0,0,0,0,0,0,0,1,88.5,36.0,123.0,64,0,0,0,0,0,0,2,72,2,246,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-60367-17,192.168.10.3,60367,192.168.10.1,53,17,7/7/2017 3:30,46556,1,1,46,102,46,46,46.0,0.0,102,102,102.0,0.0,3178.967265,42.9590171,46556.0,0.0,46556,46556,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,21.47950855,21.47950855,46,102,64.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,97.0,46.0,102.0,20,0,0,0,0,0,0,1,46,1,102,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-50008-80-6,172.16.0.1,50008,192.168.10.50,80,6,7/7/2017 3:56,38766,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,299927.7718,232.162204,4845.75,13385.46638,37972,4,38006,19003.0,26868.64347,38002,4,38736,7747.2,16975.40925,38113,47,0,0,0,0,72,132,77.38740133,154.7748027,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-49975-80-6,172.16.0.1,49975,192.168.10.50,80,6,7/7/2017 3:56,886373,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,13117.50245,10.15373889,110796.625,307102.2864,870728,16,15343,7671.5,10385.2773,15015,328,886272,177254.4,387719.4123,870728,16,0,0,0,0,72,132,3.38457963,6.769159259,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-14270-80-6,172.16.0.1,14270,192.168.10.50,80,6,7/7/2017 3:56,28058,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,855.3710172,142.5618362,9352.666667,15543.69082,27300,217,28058,9352.666667,15543.69082,27300,217,0,0.0,0.0,0,0,0,0,0,0,80,0,142.5618362,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
